,wind_speed,particle_size,mean_temperature,density,CTANN,heater_lead_angle,ignition
111,2.0,0.21740845959595959,407,105,0.0,45,0.0
19,1.0,1.3696732954545454,407,105,0.0,45,0.0
56,1.5,1.1740056818181817,407,105,0.0,45,0.0
40,1.0,0.9783380681818181,407,105,0.0,45,0.0
120,2.0,0.8696338383838383,407,105,0.0,45,0.0
43,1.0,0.6522253787878788,407,105,0.0,45,0.0
31,1.0,1.2783617424242424,407,105,0.0,45,0.0
51,1.5,2.087121212121212,407,105,0.0,45,0.0
95,2.0,2.087121212121212,407,105,0.0,45,0.0
42,1.0,1.3044507575757576,407,105,0.0,45,0.0
11,1.0,2.174084595959596,407,105,0.0,45,0.0
10,1.0,1.087042297979798,407,105,0.0,45,0.0
84,1.5,0.9783380681818181,407,105,0.0,45,0.0
112,2.0,0.19566761363636362,407,105,0.0,45,0.0
4,1.0,1.043560606060606,407,105,0.0,45,0.0
35,1.0,0.8696338383838385,407,105,0.0,45,0.0
14,1.0,1.4609848484848484,407,105,0.0,45,0.0
9,1.0,2.6089015151515147,407,105,0.0,45,0.0
114,2.0,0.18262310606060606,407,105,0.0,45,0.0
91,2.0,0.7826704545454545,407,105,0.0,45,0.0
109,2.0,0.39133522727272724,407,105,0.0,45,0.0
88,2.0,0.2608901515151515,407,105,0.0,45,0.0
12,1.0,1.1740056818181817,407,105,0.0,45,0.0
68,1.5,0.19566761363636362,407,105,0.0,45,0.0
113,2.0,0.5870028409090908,407,105,0.0,45,0.0
86,1.5,1.3044507575757576,407,105,0.0,45,0.0
28,1.0,0.9131155303030303,407,105,0.0,45,0.0
60,1.5,1.7392676767676767,407,105,0.0,45,0.0
0,1.0,0.2608901515151515,407,105,0.0,45,0.0
62,1.5,0.43481691919191917,407,105,0.0,45,0.0
27,1.0,0.5478693181818182,407,105,0.0,45,0.0
16,1.0,1.7392676767676767,407,105,0.0,45,0.0
32,1.0,0.8696338383838383,407,105,0.0,45,0.0
3,1.0,0.7826704545454545,407,105,0.0,45,0.0
69,1.5,0.5870028409090908,407,105,0.0,45,0.0
106,2.0,0.43481691919191917,407,105,0.0,45,0.0
26,1.0,0.18262310606060606,407,105,0.0,45,0.0
36,1.0,0.3652462121212121,407,105,0.0,45,0.0
33,1.0,1.6436079545454545,407,105,0.0,45,0.0
18,1.0,0.43481691919191917,407,105,0.0,45,0.0
41,1.0,0.6957070707070707,407,105,0.0,45,0.0
5,1.0,1.565340909090909,407,105,0.0,45,0.0
98,2.0,1.087042297979798,407,105,0.0,45,0.0
73,1.5,1.5218592171717171,407,105,0.0,45,0.0
90,2.0,1.3044507575757573,407,105,0.0,45,0.0
55,1.5,2.174084595959596,407,105,0.0,45,0.0
25,1.0,0.5870028409090908,407,105,0.0,45,0.0
65,1.5,0.39133522727272724,407,105,0.0,45,0.0
81,1.5,0.17392676767676768,407,105,0.0,45,0.0
53,1.5,2.6089015151515147,407,105,0.0,45,0.0
96,2.0,2.3480113636363633,407,105,0.0,45,0.0
130,2.0,1.3044507575757576,407,105,0.0,45,1.0
72,1.5,0.9131155303030303,407,105,0.0,45,1.0
94,2.0,1.8262310606060606,407,105,0.0,45,1.0
122,2.0,1.5653409090909092,407,105,0.0,45,1.0
108,2.0,1.739267676767677,407,105,0.0,45,1.0
105,2.0,0.7304924242424242,407,105,0.0,45,1.0
117,2.0,1.5218592171717171,407,105,0.0,45,1.0
34,1.0,1.5653409090909092,407,105,0.0,45,1.0
82,1.5,1.9566761363636362,407,105,0.0,45,1.0
57,1.5,1.0957386363636363,407,105,0.0,45,1.0
78,1.5,1.5653409090909092,407,105,0.0,45,1.0
39,1.0,1.3914141414141414,407,105,0.0,45,1.0
58,1.5,1.4609848484848484,407,105,0.0,45,1.0
89,2.0,0.521780303030303,407,105,0.0,45,1.0
121,2.0,1.6436079545454545,407,105,0.0,45,1.0
83,1.5,1.3914141414141414,407,105,0.0,45,1.0
59,1.5,1.2174873737373737,407,105,0.0,45,1.0
45,1.5,0.521780303030303,407,105,0.0,45,1.0
6,1.0,1.8262310606060606,407,105,0.0,45,1.0
48,1.5,1.043560606060606,407,105,0.0,45,1.0
99,2.0,2.174084595959596,407,105,0.0,45,1.0
104,2.0,1.7392676767676767,407,105,0.0,45,1.0
15,1.0,1.2174873737373737,407,105,0.0,45,1.0
50,1.5,1.8262310606060606,407,105,0.0,45,1.0
85,1.5,0.6957070707070707,407,105,0.0,45,1.0
64,1.5,1.739267676767677,407,105,0.0,45,1.0
74,1.5,1.7610085227272725,407,105,0.0,45,1.0
115,2.0,0.5478693181818182,407,105,0.0,45,1.0
103,2.0,1.2174873737373737,407,105,0.0,45,1.0
102,2.0,1.4609848484848484,407,105,0.0,45,1.0
20,1.0,1.739267676767677,407,105,0.0,45,1.0
75,1.5,1.2783617424242424,407,105,0.0,45,1.0
101,2.0,1.0957386363636363,407,105,0.0,45,1.0
92,2.0,1.043560606060606,407,105,0.0,45,1.0
79,1.5,0.8696338383838385,407,105,0.0,45,1.0
129,2.0,0.6957070707070707,407,105,0.0,45,1.0
116,2.0,0.9131155303030303,407,105,0.0,45,1.0
107,2.0,1.3696732954545454,407,105,0.0,45,1.0
126,2.0,1.9566761363636362,407,105,0.0,45,1.0
123,2.0,0.8696338383838385,407,105,0.0,45,1.0
100,2.0,1.1740056818181817,407,105,0.0,45,1.0
118,2.0,1.7610085227272725,407,105,0.0,45,1.0
127,2.0,1.3914141414141414,407,105,0.0,45,1.0
128,2.0,0.9783380681818181,407,105,0.0,45,1.0
93,2.0,1.565340909090909,407,105,0.0,45,1.0
77,1.5,1.6436079545454545,407,105,0.0,45,1.0
49,1.5,1.565340909090909,407,105,0.0,45,1.0
63,1.5,1.3696732954545454,407,105,0.0,45,1.0
119,2.0,1.2783617424242424,407,105,0.0,45,1.0
61,1.5,0.7304924242424242,407,105,0.0,45,1.0
110,2.0,0.34785353535353536,407,105,0.0,45,1.0
